año,espacio,Campo,Área,Materia,cursada,Comisiones,Chequeado,Cheq Coord,Cargado en Formulario,sec.,horario,aula,docente,Turno,Formulario,codM,nombre_c
1er,Canto,Formación Específica,Canto,"Canto ( P.663, 665, 666)",No sé,0615 - Jue 11.00 a 12.20 -  Aula PB 03 - Tricárico,FALSE,FALSE,FALSE,0615,Jue 11.00 a 12.20, Aula PB 03,Tricárico,,,No coincide,"Canto ( P.663, 665, 666)"
1er,canto,Formación Específica,Canto,Canto I,anual,0164 - Mie 17:15 a 17:55 - Aula PB 11 - docente,FALSE,FALSE,FALSE,0164,Mie 17:15 a 17:55,Aula PB 11,docente,,,662-1.4,Canto I
1er,canto,Formación Específica,Canto,Canto I,anual,0166 - Vie 17:15 a 17:55 - Aula PA 08 - docente,FALSE,FALSE,FALSE,0166,Vie 17:15 a 17:55,Aula PA 08,docente,,,662-1.4,Canto I
1er,canto,Formación Específica,Canto,Canto I,anual,0167 - Mie 17:15 a 17:55 - Aula PB 02 - Davila,FALSE,FALSE,FALSE,0167,Mie 17:15 a 17:55,Aula PB 02,Davila,,,662-1.4,Canto I
1er,canto,Formación Específica,Canto,Canto I,anual,0168 - Vie 11:45 a 12:25 - Aula PB 12 - docente,FALSE,FALSE,FALSE,0168,Vie 11:45 a 12:25,Aula PB 12,docente,,,662-1.4,Canto I
1er,canto,Formación Específica,Canto,Canto I,anual,0171 - Mie 16:30 a 17:10 - Aula PB 11 - docente,FALSE,FALSE,FALSE,0171,Mie 16:30 a 17:10,Aula PB 11,docente,,,662-1.4,Canto I
1er,canto,Formación Específica,Canto,Canto I,anual,0172 - Mie 15:45 a 16:25 - Aula Auditorio - Pivetti,FALSE,FALSE,FALSE,0172,Mie 15:45 a 16:25,Aula Auditorio,Pivetti,,,662-1.4,Canto I
1er,canto,Formación Específica,Canto,Canto I,anual,0174 - Mie 17:15 a 17:55 - Aula Auditorio - Pivetti,FALSE,FALSE,FALSE,0174,Mie 17:15 a 17:55,Aula Auditorio,Pivetti,,,662-1.4,Canto I
1er,canto,Formación Específica,Canto,Canto I,anual,0175 - Mar 11:45 a 12:30 - PB2 - Davila,FALSE,FALSE,FALSE,0175,Mar 11:45 a 12:30,PB2,Davila,,,662-1.4,Canto I
1er,canto,Formación Específica,Canto,Canto I,anual,0176 - Mie 14:15 a 14:55 - Aula PB 02 - Davila,FALSE,FALSE,FALSE,0176,Mie 14:15 a 14:55,Aula PB 02,Davila,,,662-1.4,Canto I
1er,canto,Formación Específica,Canto,Canto I,anual,0351 - Vie 18:00 a 18:40 - Aula PA 02 - Davila,FALSE,FALSE,FALSE,0351,Vie 18:00 a 18:40,Aula PA 02,Davila,,,662-1.4,Canto I
1er,canto,Formación Específica,Canto,Canto I,anual,0499 - Mie 12:30 a 13:10 - Aula PA 04 - Davila,FALSE,FALSE,FALSE,0499,Mie 12:30 a 13:10,Aula PA 04,Davila,,,662-1.4,Canto I
1er,canto,Formación Específica,Canto,Canto I,anual,0586 - Mar 13:30 a 14:10 - Aula PB 2 - Davila,FALSE,FALSE,FALSE,0586,Mar 13:30 a 14:10,Aula PB 2,Davila,,,662-1.4,Canto I
1er,canto,Formación Específica,Canto,Canto I,anual,1013 - Lun 15:45 a 16:25 - Aula PB 08 - ,FALSE,FALSE,FALSE,1013,Lun 15:45 a 16:25,Aula PB 08,,,,662-1.4,Canto I
1er,canto,Formación Específica,Canto,Canto I,anual,1015 - Mar 14:15 a 14:55 - Aula PB 09 - docente,FALSE,FALSE,FALSE,1015,Mar 14:15 a 14:55,Aula PB 09,docente,,,662-1.4,Canto I
1er,canto,Formación Específica,Canto,Canto I,anual,1016 - Mar 15:00 a 15:40 - Aula PB 09 - docente,FALSE,FALSE,FALSE,1016,Mar 15:00 a 15:40,Aula PB 09,docente,,,662-1.4,Canto I
1er,canto,Formación Específica,Canto,Canto I,anual,1017 - Lun 15:00 a 15:40 - Aula PB 12 - docente,FALSE,FALSE,FALSE,1017,Lun 15:00 a 15:40,Aula PB 12,docente,,,662-1.4,Canto I
